score,kind,file,function,start_line,evidence_line,details,excerpt
88,lost-update-counter,attrition.c,kain_attrition_record_event_locked,185,196,count-like state mutates without lock or atomic primitive,"static void kain_attrition_record_event_locked(uint32_t kind, uint32_t aux, uint64_t arg0, uint64_t arg1, uint64_t arg2) { || KainAttritionEvent* event = &g_kain_attrition_state.events[g_kain_attrition_state.event_next_index]; || event->event_index = g_kain_attrition_state.event_write_count + 1u;"
88,lost-update-counter,attrition.c,kain_attrition_fragmentation_noise_locked,198,224,count-like state mutates without lock or atomic primitive,static void kain_attrition_fragmentation_noise_locked(void) { || uint64_t max_bytes = g_kain_attrition_state.config.fragmentation_noise_max_bytes; || void* noise_block;
88,lost-update-counter,attrition.c,kain_attrition_heap_release,559,591,count-like state mutates without lock or atomic primitive,"int kain_attrition_heap_release(void* raw_header, size_t total_bytes) { || size_t slot; || KainAttritionQuarantineEntry* entry;"
88,lost-update-counter,contract.c,contract_add_warning,284,300,count-like state mutates without lock or atomic primitive,"static void contract_add_warning( || KainRuntimeContractValidation* validation, || const char* warning"
88,lost-update-counter,contract.c,contract_count_array_objects,314,349,count-like state mutates without lock or atomic primitive,"static int contract_count_array_objects( || const char* array_start, || const char* array_end"
88,lost-update-counter,core.c,rc_retain,149,165,count-like state mutates without lock or atomic primitive,void rc_retain(void* ptr) { || RcHeader* header; || if (!ptr || kain_rc_is_immediate_handle(ptr)) return;
88,lost-update-counter,core.c,rc_weak_retain,168,171,count-like state mutates without lock or atomic primitive,void rc_weak_retain(void* ptr) { || if (!ptr || kain_rc_is_immediate_handle(ptr)) return; || get_header(ptr)->weak_count++;
88,lost-update-counter,core.c,weak_upgrade,224,242,count-like state mutates without lock or atomic primitive,void* weak_upgrade(void* ptr) { || RcHeader* header; || if (!ptr) return NULL;
88,lost-update-counter,core.c,kain_map_rebuild_tiny_dispatch,1075,1108,count-like state mutates without lock or atomic primitive,static void kain_map_rebuild_tiny_dispatch(KainMap* map) { || uint64_t fingerprints[KAIN_MAP_TINY_MAX_COUNT]; || uint8_t entry_indices[KAIN_MAP_TINY_MAX_COUNT];
88,lost-update-counter,core.c,kain_map_insert_prehashed,1459,1495,count-like state mutates without lock or atomic primitive,"static int kain_map_insert_prehashed( || KainMap* map, || char* key,"
