status	source_file	line	include_path	new_target_path	classification
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2529	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2540	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2552	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2564	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2673	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2879	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	3049	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	3330	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	3445	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	3782	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	4130	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	4814	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	4888	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	4981	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	5002	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	5017	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	5036	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/Rewrite/FrontendActions.cpp	13	clang/Config/config.h		needs-review
needs-review	clang/lib/Frontend/Rewrite/RewriteModernObjC.cpp	22	clang/Config/config.h		needs-review
needs-review	clang/lib/Frontend/Rewrite/RewriteObjC.cpp	22	clang/Config/config.h		needs-review
needs-review	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	16	clang/Config/config.h		needs-review
needs-review	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	24	clang/FrontendTool/Utils.h		needs-review
needs-review	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	25	clang/Options/Options.h		needs-review
needs-review	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	27	clang/ScalableStaticAnalysis/Frontend/TUSummaryExtractorFrontendAction.h		needs-review
needs-review	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	28	clang/ScalableStaticAnalysis/SSAFForceLinker.h		needs-review
needs-review	clang/lib/Lex/InitHeaderSearch.cpp	15	clang/Config/config.h		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	9	clang/Options/Options.h		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	17	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	21	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	25	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	29	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Options/DriverOptions.cpp	34	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Options/OptionUtils.cpp	9	clang/Options/OptionUtils.h		needs-review
needs-review	clang/lib/Options/OptionUtils.cpp	13	clang/Config/config.h		needs-review
needs-review	clang/lib/Options/OptionUtils.cpp	14	clang/Options/Options.h		needs-review
needs-review	clang/lib/Sema/SemaRISCV.cpp	27	clang/Support/RISCVVIntrinsicUtils.h		needs-review
needs-review	lld/COFF/COFFLinkerContext.h	20	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/COFF/COFFLinkerContext.h	21	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/Chunks.h	14	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/Config.h	12	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/DebugTypes.cpp	15	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/DebugTypes.cpp	16	lld/Common/Memory.h		needs-review
needs-review	lld/COFF/DebugTypes.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/Driver.cpp	20	lld/Common/Args.h		needs-review
needs-review	lld/COFF/Driver.cpp	21	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/COFF/Driver.cpp	22	lld/Common/Filesystem.h		needs-review
needs-review	lld/COFF/Driver.cpp	23	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/Driver.cpp	24	lld/Common/Version.h		needs-review
needs-review	lld/COFF/Driver.cpp	30	llvm/LTO/LTO.h		needs-review
needs-review	lld/COFF/Driver.cpp	50	llvm/ToolDrivers/llvm-lib/LibDriver.h		needs-review
needs-review	lld/COFF/Driver.h	14	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/Driver.h	15	lld/Common/Reproduce.h		needs-review
needs-review	lld/COFF/Driver.h	24	llvm/WindowsDriver/MSVCPaths.h		needs-review
needs-review	lld/COFF/DriverUtils.cpp	18	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/DriverUtils.cpp	19	lld/Common/Memory.h		needs-review
needs-review	lld/COFF/DriverUtils.cpp	34	llvm/WindowsManifest/WindowsManifestMerger.h		needs-review
needs-review	lld/COFF/ICF.cpp	24	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/ICF.h	13	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/InputFiles.cpp	17	lld/Common/DWARF.h		needs-review
needs-review	lld/COFF/InputFiles.cpp	28	llvm/LTO/LTO.h		needs-review
needs-review	lld/COFF/InputFiles.h	13	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/LLDMapFile.cpp	26	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/LTO.cpp	14	lld/Common/Args.h		needs-review
needs-review	lld/COFF/LTO.cpp	15	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/COFF/LTO.cpp	16	lld/Common/Filesystem.h		needs-review
needs-review	lld/COFF/LTO.cpp	17	lld/Common/Strings.h		needs-review
needs-review	lld/COFF/LTO.cpp	18	lld/Common/TargetOptionsCommandFlags.h		needs-review
needs-review	lld/COFF/LTO.cpp	23	llvm/DTLTO/DTLTO.h		needs-review
needs-review	lld/COFF/LTO.cpp	25	llvm/LTO/Config.h		needs-review
needs-review	lld/COFF/LTO.cpp	26	llvm/LTO/LTO.h		needs-review
needs-review	lld/COFF/LTO.h	23	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/MapFile.cpp	35	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/MarkLive.cpp	12	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/MarkLive.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/MinGW.h	14	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/PDB.cpp	19	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/SymbolTable.cpp	16	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/SymbolTable.cpp	17	lld/Common/Memory.h		needs-review
needs-review	lld/COFF/SymbolTable.cpp	18	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/SymbolTable.cpp	22	llvm/LTO/LTO.h		needs-review
needs-review	lld/COFF/Symbols.cpp	12	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/Symbols.h	14	lld/Common/LLVM.h		needs-review
needs-review	lld/COFF/Symbols.h	15	lld/Common/Memory.h		needs-review
needs-review	lld/COFF/TypeMerger.h	15	lld/Common/Timer.h		needs-review
needs-review	lld/COFF/Writer.cpp	20	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/COFF/Writer.cpp	21	lld/Common/Memory.h		needs-review
needs-review	lld/COFF/Writer.cpp	22	lld/Common/Timer.h		needs-review
needs-review	lld/Common/Args.cpp	9	lld/Common/Args.h		needs-review
needs-review	lld/Common/Args.cpp	10	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/CommonLinkerContext.cpp	9	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/Common/CommonLinkerContext.cpp	10	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/CommonLinkerContext.cpp	11	lld/Common/Memory.h		needs-review
needs-review	lld/Common/DWARF.cpp	9	lld/Common/DWARF.h		needs-review
needs-review	lld/Common/DWARF.cpp	10	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/DriverDispatcher.cpp	9	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/Common/DriverDispatcher.cpp	10	lld/Common/Driver.h		needs-review
needs-review	lld/Common/DriverDispatcher.cpp	11	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/DriverDispatcher.cpp	12	lld/Common/Memory.h		needs-review
needs-review	lld/Common/ErrorHandler.cpp	9	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/ErrorHandler.cpp	11	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/Common/Filesystem.cpp	13	lld/Common/Filesystem.h		needs-review
needs-review	lld/Common/Filesystem.cpp	14	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/Memory.cpp	9	lld/Common/Memory.h		needs-review
needs-review	lld/Common/Memory.cpp	10	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/Common/Reproduce.cpp	9	lld/Common/Reproduce.h		needs-review
needs-review	lld/Common/Strings.cpp	9	lld/Common/Strings.h		needs-review
needs-review	lld/Common/Strings.cpp	10	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/Strings.cpp	11	lld/Common/LLVM.h		needs-review
needs-review	lld/Common/TargetOptionsCommandFlags.cpp	9	lld/Common/TargetOptionsCommandFlags.h		needs-review
needs-review	lld/Common/Timer.cpp	9	lld/Common/Timer.h		needs-review
needs-review	lld/Common/Timer.cpp	10	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/Common/Utils.cpp	12	lld/Common/Utils.h		needs-review
needs-review	lld/Common/Version.cpp	13	lld/Common/Version.h		needs-review
needs-review	lld/ELF/AArch64ErrataFix.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/ARMErrataFix.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/Arch/AMDGPU.cpp	12	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/Arch/ARM.cpp	16	lld/Common/Filesystem.h		needs-review
needs-review	lld/ELF/Arch/Hexagon.cpp	17	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/BPSectionOrderer.cpp	14	lld/Common/BPSectionOrdererBase.inc		needs-review
needs-review	lld/ELF/BPSectionOrderer.h	17	lld/Common/BPSectionOrdererBase.h		needs-review
needs-review	lld/ELF/Config.h	12	lld/Common/BPSectionOrdererBase.h		needs-review
needs-review	lld/ELF/Config.h	13	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/ELF/Config.h	14	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/Driver.cpp	40	lld/Common/Args.h		needs-review
needs-review	lld/ELF/Driver.cpp	41	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/ELF/Driver.cpp	42	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/Driver.cpp	43	lld/Common/Filesystem.h		needs-review
needs-review	lld/ELF/Driver.cpp	44	lld/Common/Memory.h		needs-review
needs-review	lld/ELF/Driver.cpp	45	lld/Common/Strings.h		needs-review
needs-review	lld/ELF/Driver.cpp	46	lld/Common/Version.h		needs-review
needs-review	lld/ELF/Driver.cpp	52	llvm/LTO/LTO.h		needs-review
needs-review	lld/ELF/Driver.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/DriverUtils.cpp	17	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/ELF/DriverUtils.cpp	18	lld/Common/Reproduce.h		needs-review
needs-review	lld/ELF/EhFrame.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/InputFiles.cpp	19	lld/Common/DWARF.h		needs-review
needs-review	lld/ELF/InputFiles.cpp	22	llvm/LTO/LTO.h		needs-review
