current_path	target_path	size_bytes	area	action
clang/include/clang/Analysis/FlowSensitive/RecordOps.h	llvm-kain/clang/include/analysis/FlowSensitive/RecordOps.h	3265	clang	move
clang/include/clang/Analysis/FlowSensitive/SimplifyConstraints.h	llvm-kain/clang/include/analysis/FlowSensitive/SimplifyConstraints.h	2354	clang	move
clang/include/clang/Analysis/FlowSensitive/SmartPointerAccessorCaching.h	llvm-kain/clang/include/analysis/FlowSensitive/SmartPointerAccessorCaching.h	6927	clang	move
clang/include/clang/Analysis/FlowSensitive/Solver.h	llvm-kain/clang/include/analysis/FlowSensitive/Solver.h	3529	clang	move
clang/include/clang/Analysis/FlowSensitive/StorageLocation.h	llvm-kain/clang/include/analysis/FlowSensitive/StorageLocation.h	7177	clang	move
clang/include/clang/Analysis/FlowSensitive/Transfer.h	llvm-kain/clang/include/analysis/FlowSensitive/Transfer.h	2410	clang	move
clang/include/clang/Analysis/FlowSensitive/TypeErasedDataflowAnalysis.h	llvm-kain/clang/include/analysis/FlowSensitive/TypeErasedDataflowAnalysis.h	6904	clang	move
clang/include/clang/Analysis/FlowSensitive/Value.h	llvm-kain/clang/include/analysis/FlowSensitive/Value.h	5663	clang	move
clang/include/clang/Analysis/FlowSensitive/WatchedLiteralsSolver.h	llvm-kain/clang/include/analysis/FlowSensitive/WatchedLiteralsSolver.h	2410	clang	move
clang/include/clang/Analysis/FlowSensitive/Models/ChromiumCheckModel.h	llvm-kain/clang/include/analysis/FlowSensitive/Models/ChromiumCheckModel.h	1461	clang	move
clang/include/clang/Analysis/FlowSensitive/Models/UncheckedOptionalAccessModel.h	llvm-kain/clang/include/analysis/FlowSensitive/Models/UncheckedOptionalAccessModel.h	4268	clang	move
clang/include/clang/Analysis/FlowSensitive/Models/UncheckedStatusOrAccessModel.h	llvm-kain/clang/include/analysis/FlowSensitive/Models/UncheckedStatusOrAccessModel.h	4766	clang	move
clang/include/clang/Analysis/Support/BumpVector.h	llvm-kain/clang/include/analysis/Support/BumpVector.h	7327	clang	move
clang/include/clang/Analysis/Support/FixitUtil.h	llvm-kain/clang/include/analysis/Support/FixitUtil.h	2964	clang	move
clang/include/clang/AST/AbstractBasicReader.h	llvm-kain/clang/include/ast/AbstractBasicReader.h	10285	clang	move
clang/include/clang/AST/AbstractBasicWriter.h	llvm-kain/clang/include/ast/AbstractBasicWriter.h	9791	clang	move
clang/include/clang/AST/AbstractTypeReader.h	llvm-kain/clang/include/ast/AbstractTypeReader.h	964	clang	move
clang/include/clang/AST/AbstractTypeWriter.h	llvm-kain/clang/include/ast/AbstractTypeWriter.h	954	clang	move
clang/include/clang/AST/APNumericStorage.h	llvm-kain/clang/include/ast/APNumericStorage.h	2400	clang	move
clang/include/clang/AST/APValue.h	llvm-kain/clang/include/ast/APValue.h	28882	clang	move
clang/include/clang/AST/AST.h	llvm-kain/clang/include/ast/AST.h	907	clang	move
clang/include/clang/AST/ASTConcept.h	llvm-kain/clang/include/ast/ASTConcept.h	10518	clang	move
clang/include/clang/AST/ASTConsumer.h	llvm-kain/clang/include/ast/ASTConsumer.h	6437	clang	move
clang/include/clang/AST/ASTContext.h	llvm-kain/clang/include/ast/ASTContext.h	164589	clang	move
clang/include/clang/AST/ASTContextAllocate.h	llvm-kain/clang/include/ast/ASTContextAllocate.h	1367	clang	move
